"Date","Open","High","Low","Close","Adj Close","Volume"
"2010-01-04",7.6225,7.660714,7.585,7.643214,6.553025,493729600
"2010-01-05",7.664286,7.699643,7.616071,7.656429,6.564355,601904800
"2010-01-06",7.656429,7.686786,7.526786,7.534643,6.459939,552160000
"2010-01-07",7.5625,7.571429,7.466071,7.520714,6.447999,477131200
"2010-01-08",7.510714,7.571429,7.466429,7.570714,6.490865,447610800
"2010-01-11",7.6,7.607143,7.444643,7.503929,6.433607,462229600
"2010-01-12",7.471071,7.491786,7.372143,7.418571,6.360425,594459600
"2010-01-13",7.423929,7.533214,7.289286,7.523214,6.450142,605892000
"2010-01-14",7.503929,7.516429,7.465,7.479643,6.412785,432894000
"2010-01-15",7.533214,7.557143,7.3525,7.354643,6.305614,594067600
"2010-01-19",7.440357,7.685357,7.401429,7.68,6.584566,730007600
"2010-01-20",7.675357,7.698214,7.482143,7.561786,6.483211,612152800
"2010-01-21",7.574286,7.618214,7.400357,7.431071,6.37114,608154400
"2010-01-22",7.385,7.410714,7.041429,7.0625,6.05514,881767600
"2010-01-25",7.2325,7.310714,7.149643,7.2525,6.21804,1065699600
"2010-01-26",7.355357,7.6325,7.235,7.355,6.305922,1867110000
"2010-01-27",7.3875,7.520714,7.126071,7.424286,6.365323,1722568400
"2010-01-28",7.318929,7.339286,7.096429,7.1175,6.102295,1173502400
"2010-01-29",7.181429,7.221429,6.794643,6.859286,5.880912,1245952400
"2010-02-01",6.870357,7,6.832143,6.954643,5.962669,749876400
"2010-02-02",6.996786,7.011429,6.906429,6.995,5.99727,698342400
"2010-02-03",6.970357,7.15,6.943571,7.115357,6.100459,615328000
"2010-02-04",7.026071,7.084643,6.841786,6.858929,5.880607,757652000
"2010-02-05",6.879643,7,6.816071,6.980714,5.985021,850306800
"2010-02-08",6.988929,7.067143,6.928571,6.932857,5.943989,478270800
"2010-02-09",7.015,7.053571,6.955357,7.006786,6.007374,632886800
"2010-02-10",6.996071,7.021429,6.937857,6.968571,5.97461,370361600
"2010-02-11",6.96,7.133929,6.930714,7.095357,6.083312,550345600
"2010-02-12",7.075357,7.201429,6.982143,7.156429,6.135673,655468800
"2010-02-16",7.212143,7.274643,7.197143,7.264286,6.228145,543737600
"2010-02-17",7.2925,7.296786,7.173571,7.233929,6.202118,436396800
"2010-02-18",7.201071,7.281786,7.175714,7.2475,6.213755,422825200
"2010-02-19",7.209286,7.257143,7.1825,7.2025,6.175173,415469600
"2010-02-22",7.226429,7.232143,7.113929,7.157857,6.136898,390563600
"2010-02-23",7.142857,7.190357,6.989643,7.037857,6.034012,575094800
"2010-02-24",7.079643,7.194286,7.065714,7.166429,6.144247,460566400
"2010-02-25",7.049286,7.245,7.031786,7.214286,6.185277,665126000
"2010-02-26",7.227857,7.3275,7.214286,7.307857,6.265501,507460800
"2010-03-01",7.348214,7.482143,7.3375,7.463929,6.399312,550093600
"2010-03-02",7.4975,7.529643,7.419286,7.458929,6.395025,566546400
"2010-03-03",7.462143,7.495357,7.426429,7.476071,6.409722,372052800
"2010-03-04",7.474286,7.532857,7.451071,7.525357,6.451978,366041200
"2010-03-05",7.676429,7.846429,7.665357,7.819643,6.70429,899620400
"2010-03-08",7.8575,7.860357,7.794643,7.824286,6.70827,429889600
"2010-03-09",7.796786,8.035714,7.781786,7.965,6.828912,920259200
"2010-03-10",7.993929,8.052857,7.971429,8.03,6.884641,596218000
"2010-03-11",7.996786,8.053571,7.975714,8.053571,6.904851,405700400
"2010-03-12",8.120357,8.133214,8.0625,8.092857,6.938533,416323600
"2010-03-15",8.049286,8.053571,7.866071,7.994286,6.854021,493502800
"2010-03-16",8.006429,8.035,7.946786,8.016071,6.872699,446908000
"2010-03-17",8.032143,8.0875,7.973929,8.004286,6.862596,450956800
"2010-03-18",8.003571,8.035714,7.950357,8.023214,6.878823,342109600
"2010-03-19",8.028214,8.044286,7.901071,7.9375,6.805336,559445600
"2010-03-22",7.873929,8.071429,7.8625,8.026786,6.881886,456419600
"2010-03-23",8.058571,8.170714,8.003571,8.155714,6.992426,602431200
"2010-03-24",8.13,8.221429,8.125357,8.191786,7.023351,597780400
"2010-03-25",8.247143,8.248929,8.080357,8.094643,6.940064,542284400
"2010-03-26",8.176786,8.283929,8.1625,8.246429,7.0702,640875200
"2010-03-29",8.321429,8.3525,8.272143,8.299643,7.115823,540744400
"2010-03-30",8.45,8.481429,8.366071,8.423214,7.221768,527310000
"2010-03-31",8.410357,8.450357,8.373571,8.392857,7.195742,430659600
"2010-04-01",8.478929,8.526071,8.3125,8.4275,7.225445,603145200
"2010-04-05",8.392143,8.518214,8.384643,8.5175,7.302605,684507600
"2010-04-06",8.507143,8.58,8.464286,8.555,7.33476,447017200
"2010-04-07",8.555357,8.64,8.523571,8.592857,7.367217,628502000
"2010-04-08",8.587143,8.626429,8.501429,8.569643,7.347311,572989200
"2010-04-09",8.6225,8.638929,8.587857,8.635357,7.403657,334182800
"2010-04-12",8.65,8.681071,8.636071,8.653214,7.418966,333026400
"2010-04-13",8.637857,8.671429,8.611071,8.658214,7.423251,306210800
"2010-04-14",8.76,8.778929,8.716786,8.774643,7.523072,404076400
"2010-04-15",8.777857,8.893929,8.768214,8.89,7.621977,376784800
"2010-04-16",8.8775,8.969286,8.733929,8.835714,7.575433,750545600
"2010-04-19",8.8225,8.853214,8.634643,8.823929,7.565329,566924400
"2010-04-20",8.876429,8.901786,8.677143,8.735357,7.48939,738326400
"2010-04-21",9.242857,9.294643,9.133214,9.257857,7.937365,982391200
"2010-04-22",9.222857,9.526786,9.15,9.516786,8.159359,793424800
"2010-04-23",9.571071,9.720714,9.535714,9.6725,8.292865,796955600
"2010-04-26",9.71,9.730714,9.578214,9.625,8.252141,479068800
"2010-04-27",9.545357,9.565714,9.304286,9.358571,8.023711,709343600
"2010-04-28",9.401786,9.428571,9.1575,9.342857,8.010238,758402400
"2010-04-29",9.393571,9.642857,9.3575,9.594286,8.225807,558840800
"2010-04-30",9.618214,9.663214,9.321429,9.324643,7.994622,542463600
"2010-05-03",9.422857,9.567143,9.388571,9.5125,8.155684,454342000
"2010-05-04",9.388929,9.403214,9.169643,9.238571,7.92083,723819600
"2010-05-05",9.036786,9.219286,8.883214,9.1425,7.83846,883103200
"2010-05-06",9.065357,9.223214,7.116071,8.794643,7.54022,1285860800
"2010-05-07",8.703929,8.806071,8.043214,8.423571,7.222076,1676018400
"2010-05-10",8.9375,9.094643,8.876071,9.071071,7.777222,984306400
"2010-05-11",8.994286,9.281786,8.946429,9.161429,7.854689,848906800
"2010-05-12",9.258571,9.3975,9.239286,9.360357,8.025244,654379600
"2010-05-13",9.400714,9.464286,9.157143,9.227143,7.91103,599712400
"2010-05-14",9.112857,9.16,8.910714,9.065,7.772016,759362800
"2010-05-17",9.096429,9.149286,8.846786,9.079286,7.784264,762834800
"2010-05-18",9.177857,9.233929,8.937857,9.012857,7.727309,782678400
"2010-05-19",8.910714,9.032857,8.744643,8.869286,7.604215,1025726800
"2010-05-20",8.638571,8.708929,8.436071,8.491429,7.280255,1282915200
"2010-05-21",8.315,8.732143,8.2625,8.654286,7.419883,1223891200
"2010-05-24",8.831429,8.960714,8.795,8.812857,7.555838,754238800
"2010-05-25",8.548214,8.812857,8.47,8.757857,7.508681,1048006400
"2010-05-26",8.931429,9.004643,8.705357,8.718214,7.474692,850654000